Reset,left_occupied,left_angle,left_offset,left_size,left_width,left_length,left_has_pillar,right_occupied,right_angle,right_offset,right_size,right_width,right_length,right_has_pillar,goal_lane_index,goal_position_x,goal_position_y,goal_heading,controlled_x,controlled_y,controlled_width,controlled_length,step,done,agent_angle_score,agent_angle_tier,agent_angle_deg
Reset 1,1,0.033599378956946646,0.0,1,2.0,4.8,0,1,0.15577030423143712,0.0,1,2.0,4.8,0,"('b', 'c', 6)",13.75,8.75,1.5707963267948966,-9.830159529236864,0.0,2.0,4.8,21,True,38.91827959551716,beginner,10.540860202241419
Reset 2,0,0.0,0.0,0,0.0,0.0,0,1,0.17276121802067523,0.0,0,2.0,4.3,0,"('b', 'c', 7)",17.25,8.75,1.5707963267948966,-4.526115522247516,0.0,2.0,4.8,20,True,36.596967311301086,beginner,11.701516344349457
Reset 3,1,0.012724608817872962,0.0,1,2.0,4.8,0,1,-0.09666932076942847,0.0,0,2.0,4.3,0,"('b', 'c', 2)",8.25,-8.75,-1.5707963267948966,-6.17620841283741,0.0,2.0,4.3,16,True,32.25248944248504,beginner,13.873755278757478
Reset 4,0,0.0,0.0,0,0.0,0.0,0,1,0.05229715179090633,0.0,1,2.0,4.8,0,"('b', 'c', 1)",4.75,-8.75,-1.5707963267948966,-9.030051396020268,0.0,2.0,4.3,16,True,30.557149797389815,beginner,14.721425101305092
Reset 5,1,-0.05445519031425716,0.0,0,2.0,4.3,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 1)",4.75,-8.75,-1.5707963267948966,-7.941044240560876,0.0,2.0,4.8,15,True,23.812766858522856,beginner,18.093616570738572
Reset 6,1,0.15424078237390892,0.0,1,2.0,4.8,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 2)",8.25,-8.75,-1.5707963267948966,-6.601359074097941,0.0,2.0,4.3,17,True,37.394534458494846,beginner,11.302732770752579
Reset 7,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 5)",20.75,-8.5,-1.5707963267948966,-9.452538095675104,0.0,2.0,4.8,23,True,30.087206619926185,beginner,14.956396690036907
Reset 8,1,-0.053760084842903844,0.0,0,2.0,4.3,0,1,-0.16242638068644255,0.0,0,2.0,4.3,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-6.364683505430818,0.0,2.0,4.3,19,True,38.566640982366934,beginner,10.716679508816531
Reset 9,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 5)",20.75,-8.5,-1.5707963267948966,-9.87452360544816,0.0,2.0,4.3,24,True,32.78150272518916,beginner,13.609248637405418
Reset 10,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 5)",20.75,-8.5,-1.5707963267948966,-3.643817200128617,0.0,2.0,4.3,21,True,35.596998627129466,beginner,12.201500686435269
