Reset,left_occupied,left_angle,left_offset,left_size,left_width,left_length,left_has_pillar,right_occupied,right_angle,right_offset,right_size,right_width,right_length,right_has_pillar,goal_lane_index,goal_position_x,goal_position_y,goal_heading,controlled_x,controlled_y,controlled_width,controlled_length,step,done
Reset 1,1,0.16286080735631514,0.0,0,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-8.883955413050202,0.0,2.0,5.0,23,True
Reset 2,1,-0.03883567711713454,0.0,2,2.0,5.5,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 5)",32.0,-14.0,-1.5707963267948966,-7.409782729863937,0.0,2.0,5.0,25,True
Reset 3,0,0.0,0.0,0,0.0,0.0,1,1,0.09419590970909009,0.0,1,2.0,5.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-4.217104232282304,0.0,2.0,5.0,19,True
Reset 4,1,0.08503698830175477,0.0,1,2.0,5.0,0,1,0.010157438012359687,0.0,1,2.0,5.0,0,"('b', 'c', 1)",8.0,-14.0,-1.5707963267948966,-7.417128013279743,0.0,2.0,5.0,16,True
Reset 5,1,-0.14493196909535344,0.0,1,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",14.0,14.0,1.5707963267948966,-7.221676728967565,0.0,2.0,5.0,21,True
Reset 6,1,0.014045867451940142,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-8.673489766499706,0.0,2.0,5.0,19,True
Reset 7,1,0.16443159026158716,0.0,1,2.0,5.0,1,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-4.3780871392768805,0.0,2.0,5.0,19,True
Reset 8,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,"('a', 'b', 3)",20.0,14.0,1.5707963267948966,-2.126620212753016,0.0,2.0,5.0,20,True
Reset 9,1,-0.14602776783986626,0.0,1,2.0,5.0,0,0,0.0,0.0,0,0.0,0.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-5.906176687131043,0.0,2.0,5.0,18,True
Reset 10,0,0.0,0.0,0,0.0,0.0,1,1,0.06565156090303192,0.0,1,2.0,5.0,0,"('a', 'b', 4)",26.0,14.0,1.5707963267948966,-2.3907457505843253,0.0,2.0,5.0,23,True
Reset 11,0,0.0,0.0,0,0.0,0.0,0,1,-0.06013676302306914,0.0,1,2.0,5.0,1,"('b', 'c', 2)",14.0,-14.0,-1.5707963267948966,-9.810546753865522,0.0,2.0,5.0,19,True
Reset 12,1,0.0743052284424468,0.0,1,2.0,5.0,1,1,0.12520352013853842,0.0,1,2.0,5.0,0,"('b', 'c', 3)",20.0,-14.0,-1.5707963267948966,-6.282501732879024,0.0,2.0,5.0,20,True
Reset 13,1,0.0855602384789369,0.0,0,2.0,5.0,0,1,0.07555975275522897,0.0,0,2.0,5.0,0,"('b', 'c', 4)",26.0,-14.0,-1.5707963267948966,-5.574171405567757,0.0,2.0,5.0,22,True
